MaritalStatus,age,edu_status,jznx,sqjkqx,xykpjsy6m,num_card,lsyq,zsjll,zsmll,cshk,sxze,wdhj,bdfc,yqsj,yjfzhke,zwze,kzpsr,yjsr,dizhi,zhiye,yhls,susong,spsxed,yq
已婚,m,本科,m,2,2.884800713,17,has,0.15,0.225,5,3.194583132,是,是,1,3.42,4.390738575,2.355,8.25,y,y,4.016383021,否,8,0
离异,m,专科,m,4,0.177141497,5,has,0.15,0.21,2,1.386294361,否,是,2,0.67,3.919991175,3.572,6.04,y,y,3.151491659,否,20,0
已婚,t,本科,m,4,1.757857918,3,has,0,0,0.87,1.978239036,否,是,1,0,0.871293366,-0.425,0.35,y,n,0.306675549,否,4,0
已婚,e,专科,h,2,0.463734016,2,has,0.15,0.25,4,0.741937345,否,UN,1,0,3.424262655,16.6,31,y,y,2.292534757,否,2.7,1
已婚,t,专科,l,2,2.219866308,18,has,0.3,0,0,3.056587457,是,是,1,1.87,4.21582446,0.708,3.54,y,y,3.617033644,否,4,0
已婚,m,初中,h,1,0.130852808,1,has,0.1,0.15,5,0.405465108,否,是,1,1.6,4.075841091,10.1,16.72,y,y,3.044522438,否,20,1
离异,e,UN,m,2,1.704748092,15,no,0.15,0.25,2.4,2.557227311,否,是,0,0,0.972671065,-0.5,2,y,y,1.146322505,否,4,0
已婚,t,专科,h,4,2.312535424,17,has,0,0,1.5,3.265759411,否,是,1,0,3.828641396,12,20,y,n,2.541601993,否,8,0
已婚,y,高中,h,2,0,1,no,0.45,0.6,4,0.048790164,否,否,0,1.26,3.502549876,1.63,4.13,y,y,2.091864062,否,20,0
未婚,y,本科,m,4,0.667829373,1,has,0,0,0.7,2.727852828,是,是,1,0,1.098612289,-0.468,0.36,y,y,0.510845624,否,6,0
已婚,e,高中,h,4,3.340310851,7,has,0,0,1,3.433987204,是,是,1,0,4.220977213,0.21,0.3,y,UN,0.779324877,否,4,1
未婚,t,本科,l,4,2.696867912,12,no,0.1,0.4,4,3.054001182,是,是,0,2.73,5.478135793,6.51,11.55,UN,n,3.617033644,否,20,1
离异,m,专科,m,6,1.506208458,4,has,0,0,3,1.871802177,是,是,1,0,4.510859507,1.8,5,UN,UN,4.90823336,否,3.8,0
已婚,t,本科,m,4,2.674355525,10,has,0.2,0.4,8,2.980618636,是,UN,1,7.34,5.094976443,3.65,15.7,y,y,5.214954779,否,20,0
离异,m,UN,h,2,0,1,no,0.15,0.17,1,0.09531018,否,是,1,1.3,2.408745289,0.39,2.414,n,y,2.721953106,否,8,0
已婚,m,专科,h,4,0.020096702,1,no,0,0,0.5,1.791759469,否,是,0,0,0.790727509,0.35,0.6,UN,UN,1.064710737,否,8,0
已婚,m,高中,h,3,0,13,no,0.1,0.15,2,1.410986974,是,是,0,4.6,3.995260604,1.6125,8.87,UN,y,4.077537444,否,16.6,0
已婚,t,本科,m,4,1.696825885,10,has,0.24,0.4,8,2.116255515,否,是,1,7.3,4.771531723,0.86,11.65,y,y,4.933237918,否,15,0
已婚,t,UN,h,3,0,2,has,0.07,0.1,2,0.587786665,是,是,1,6.63,4.15261347,0.51,10.2,y,y,3.903990834,否,10,0
未婚,y,专科,h,3,0,0,no,0,0,0.3,0,否,否,0,0,0,0.25,0.36,y,y,0.313715249,否,2,0
已婚,t,本科,m,4,2.627873596,8,has,0.25,0.45,6,3.210843653,否,是,1,0,4.553876892,0.56,0.8,y,y,3.950241293,否,18,0
已婚,t,高中,h,3,0.812928219,4,has,0.2,0.4,2,2.376857337,否,是,6,0.88,2.850706502,0.87,2.5,y,n,5.176299439,否,15,0
已婚,m,本科,l,4,2.831058082,14,has,0.5,0.6,10,3.8637651,否,是,1,3.07,4.297285406,3.083,8.79,y,y,3.68064817,否,15,0
已婚,m,专科,h,3,0.231111721,3,no,0,0.3,5,0.741937345,是,是,0,0,4.016383021,5.9,9.7,y,UN,3.280911216,否,5,0
